COGNOME NOME,CITTA',PROV,INDIRIZZO E-MAIL,STELLE
HOTEL PRINCIPE,PIETRA LIGURE,SV,info@albergoprincipe.it,**
HOTEL REGINA MUNDI,PIETRA LIGURE,SV,,**
HOTEL VILLA LA LANTERNA,PIETRA LIGURE,SV,hotellalanterna@libero.it ,**
HOTEL VILLA PAOLINA ROSA,PIETRA LIGURE,SV,,**
HOTEL IDEAL,BORGIO VEREZZI,SV,info@idealhotel.com,***
HOTEL LA VELA,BORGIO VEREZZI,SV,info@hotelvela.it,***
HOTEL VELA MARE,BORGIO VEREZZI,SV,velamarehotel@libero.it,***
HOTEL VILLA ADA,BORGIO VEREZZI,SV,info@villaada.net,***
HOTEL VILLA DELLE ROSE,BORGIO VEREZZI,SV,info@villarose.it,***
HOTEL AL SARACENO,VARIGOTTI,SV,varigotti@alsaracenogroup.com,*****
HOTEL ALBATROS,VARIGOTTI,SV,info@hotelalbatrosvarigotti.it,****
HOTEL BONCARDO,FINALE LIGURE,SV,info@hotelboncardo.it,****
HOTEL DEL GOLFO,FINALE LIGURE,SV,info@oraresortliguria.com,****
HOTEL GRAND HOTEL MORONI,FINALE LIGURE,SV,info@hotelmoroni.com,****
HOTEL PUNTA EST,FINALE LIGURE,SV,info@puntaest.com,****
HOTEL AL CAPO,VARIGOTTI,SV,info@hotelalcapo.it,***
HOTEL ASTORIA,FINALE LIGURE,SV,info@hotelastoriafinale.it,***
HOTEL CARENI,FINALE LIGURE,SV,info@hotelcareni.it,***
HOTEL COLIBRI',FINALE LIGURE,SV,colibri@colibrihotel.it,***
HOTEL CORALLO,FINALE LIGURE,SV,,***
HOTEL DEL BAMBINO,FINALE LIGURE,SV,hoteldelbambino@fastwebnet.it,***
HOTEL DERBY,FINALE LIGURE,SV,info@hotelderbyfinale.com,***
HOTEL EUROPA,FINALE LIGURE,SV,info@hoteleuropafinale.com,***
HOTEL FLORENZ,FINALE LIGURE,SV,info@hotelflorenz.it,***
HOTEL GARIBALDI,FINALE LIGURE,SV,hgaribaldi@ivg.it,***
HOTEL HOLIDAY,VARIGOTTI,SV,holiday.varigotti@tin.it,***
HOTEL HOLIDAY CENTER,FINALE LIGURE,SV,info@holidaycenterfinale.com,***
HOTEL INTERNAZIONALE,FINALE LIGURE,SV,info@internazionalehotel.it,***
HOTEL LA BUSSOLA,FINALE LIGURE,SV,info@hotellabussolafinale.com,***
HOTEL LA GIOIOSA,FINALE LIGURE,SV,info@lagioiosahotel.it,***
HOTEL LA PALMA,FINALE LIGURE,SV,hotellapalma@hotellapalma.it,***
HOTEL MEDUSA,FINALE LIGURE,SV,mail@medusahotel.it,***
HOTEL MIRAMARE,FINALE LIGURE,SV,hotelmiramare@libero.it,***
HOTEL NORIS,FINALE LIGURE,SV,info@hotelnoris.com,***
HOTEL ORCHIDEA,FINALE LIGURE,SV,info@orchidearesidencehotel.it,***
HOTEL PALACE,FINALE LIGURE,SV,info@palacefinale.it,***
HOTEL PARK HOTEL CASTELLO,FINALE LIGURE,SV,info@parkhotelcastello.com,***
HOTEL REGINA,FINALE LIGURE,SV,,***
HOTEL RIO,FINALE LIGURE,SV,info@riohotel.it,***
HOTEL RIVIERA MIRAMARE,VARIGOTTI,SV,miramare.varigotti@libero.it,***
HOTEL SAN GIUSEPPE,FINALE LIGURE,SV,info@hotelsangiuseppe.com,***
HOTEL SAVOIA,FINALE LIGURE,SV,hsavoia@ivg.it,***
HOTEL SERENVAL,FINALE LIGURE,SV,h.serenval@tiscalinet.it,***
HOTEL VECCHIE MURA,FINALE LIGURE,SV,,***
HOTEL VILLA GINA,FINALE LIGURE,SV,villagina@libero.it,***
HOTEL VILLA ITALIA,FINALE LIGURE,SV,info@hotelvillaitalia.it,***
HOTEL ARABESQUE,FINALE LIGURE,SV,m.tritzo@libero.it,**
HOTEL CYNTHIA,FINALE LIGURE,SV,hotelcynthia@libero.it,**
HOTEL DEUTSCHE FAMILIE P,FINALE LIGURE,SV,info@deutschefamilien.it,**
HOTEL GAMBONE,FINALE LIGURE,SV,info@hotelgambone.com,**
HOTEL GIARDINO,FINALE LIGURE,SV,giardinofi@libero.it,**
HOTEL GIARDINO DELLE ROSE,FINALE LIGURE,SV,info@giardinodellerose.com,**
HOTEL IL FARO,FINALE LIGURE,SV,info@albergoilfaro.it,**
HOTEL LIGURE,FINALE LIGURE,SV,info@hoteligure.it,**
HOTEL LILIANA,VARIGOTTI,SV,info@lilianahotel.it,**
HOTEL MARINA,FINALE LIGURE,SV,info@albergomarinafinale.com,**
HOTEL NATALINA,FINALE LIGURE,SV,info@hotelnatalina.it,**
HOTEL PLATA,FINALE LIGURE,SV,,**
HOTEL RIVIERA,FINALE LIGURE,SV,Info@hotelrivierafinale.it ,**
HOTEL RIZ,FINALE LIGURE,SV,info@hotelriz.it,**
HOTEL ROSETTA,FINALE LIGURE,SV,info@albergorosetta.it,**
HOTEL ROSITA,FINALE LIGURE,SV,info@hotelrosita.it,**
HOTEL SANTA MARIA,FINALE LIGURE,SV,info@hotelsantamariafinale.it,**
HOTEL SPLENDOR,FINALE LIGURE,SV,info@hotelsplendor.net,**
HOTEL VILLA BOLOGNANI,FINALE LIGURE,SV,info@villabolognani.com,**
HOTEL VILLA CHIARA,FINALE LIGURE,SV,info@hotelvillachiarafinale.it,**
HOTEL VILLA PIERA,FINALE LIGURE,SV,info@villapiera.it,**
